"","hm_list_v"
"100",1.7799415065463
"101",1.96952736879896
"102",2.06992877974814
"103",1.77346896639961
"104",1.82131459983807
"105",2.00674733733713
"106",1.97082990619851
"107",1.7004505079749
"108",1.92758385488664
"109",1.88306660804381
"110",1.82226276915469
"111",1.81399874807239
"112",1.92970585509593
"113",1.92147710725915
"114",1.85862877898774
"115",1.89828700432764
"116",1.57506811982329
"117",1.8777050523637
"118",2.02221721029703
"119",1.8343934456204
"120",1.76450961938
"121",1.81322907802992
"122",2.10905158365824
"123",2.04565428150076
"124",1.66319128776941
"125",1.68743337538364
"126",1.96771331533102
"127",1.8284857593529
"128",2.01890463599064
"129",1.91677786655101
"130",1.73848119081195
"131",2.08295173479364
"132",2.25972721520503
"133",1.95205762355236
"134",2.10863125251487
"135",1.81378730360911
"136",2.06417415772925
"137",1.68065326886153
"138",1.59201717890251
"139",1.79452012512611
"140",1.99121102285462
"141",1.95143830109117
"142",1.89794585296694
"143",1.84050316512319
"144",2.08953045417895
"145",1.95998134797103
"146",2.1244225856744
"147",1.92915764850741
"148",1.9735787731055
"149",1.7508252714804
"150",1.89947867775081
"151",2.04977904618361
"152",1.95492424620215
"153",2.09730854398353
"154",2.00498545924411
"155",1.9308962377667
"156",2.25454422210048
"157",1.75831540516922
"158",1.80731308634435
"159",1.89937701404574
"160",1.92361442075993
"161",1.89377412374252
"162",1.88599751493348
"163",1.6924886894803
"164",2.15864749546053
"165",1.99295257006109
"166",1.95973889385324
"167",1.86506943325202
"168",1.89194216748328
"169",1.99464932520912
"170",1.84667568672389
"171",1.81899079210156
"172",2.02948958724903
"173",1.76515283360945
"174",1.89420947145728
"175",1.96044101706286
"176",1.94543474920639
"177",1.89414990151577
"178",1.88323826712239
"179",2.09582434581894
"180",1.79310628948937
"181",1.96946115133437
"182",1.96761075906034
"183",1.8089649936908
"184",2.11501301531746
"185",1.92629808106593
"186",1.76036962124526
"187",2.09223058835404
"188",2.00872238103118
"189",1.93550582950591
"190",2.08507956563723
"191",1.60865953114143
"192",1.8108487611915
"193",1.96768631196058
"194",1.99868080126739
"195",1.97104428275601
"196",1.85742735305598
"197",1.85985975972461
"198",1.82844667923907
"199",1.98008475016616
"200",1.96911052313356
"201",1.99435981869799
"202",1.88744154227408
"203",1.98554543672257
"204",1.90095639238587
"205",1.91683001600655
"206",1.97662756545676
"207",1.9116221042355
"208",1.97419442253982
"209",1.83644366534421
"210",1.99440813418735
"211",1.91291145333916
"212",1.89294794106603
"213",2.02604513835813
"214",1.97324939703721
"215",1.92669709525236
"216",1.81631586642259
"217",1.88850625069766
"218",1.91681202954281
"219",2.01795846351644
"220",2.01137194326646
"221",1.93624054032385
"222",1.8902365148219
"223",1.92481594549902
"224",1.92264777278885
"225",1.88075959403741
"226",1.93064330306043
"227",1.80701244423119
